# name    zcmb        zhel        dz         mb           dmb         s           ds          color       dcolor    cov_m_s     cov_m_c    cov_s_c
04D3cp    0.830000    0.830000    0.001000   24.235460    0.062770    1.110200    0.034590   -0.447670    0.179910   0.000530  -0.010300   0.000060
04D3cy    0.643000    0.643000    0.001000   23.798050    0.021120    0.963160    0.015800    0.017330    0.029160   0.000160  -0.000130   0.000120
04D3dd    1.010000    1.010000    0.001000   25.119600    0.192070    1.087590    0.073760   -0.070810    0.204890   0.004480  -0.036650  -0.000550
04D3df    0.470000    0.470000    0.001000   23.465070    0.009530    0.730300    0.009800    0.059880    0.017120   0.000030   0.000050   0.000000
04D3do    0.610000    0.610000    0.001000   23.573670    0.014140    0.861610    0.013140   -0.079320    0.018780   0.000070  -0.000050   0.000070
04D3ez    0.263000    0.263000    0.001000   21.677710    0.003660    0.894630    0.005830    0.091110    0.003410   0.000010   0.000000   0.000000
04D3fk    0.357800    0.357800    0.001000   22.532460    0.005490    0.913140    0.005400    0.149200    0.005730   0.000020   0.000010   0.000010
04D3fq    0.730000    0.730000    0.001000   24.127960    0.025810    0.899680    0.014340   -0.002480    0.037080   0.000020  -0.000480   0.000100
04D3gt    0.451000    0.451000    0.001000   23.235060    0.009730    0.952750    0.009580    0.276340    0.016330   0.000030   0.000060  -0.000000
04D3gx    0.910000    0.910000    0.001000   24.707680    0.094060    0.951710    0.046840   -0.201930    0.163060   0.000510  -0.014040   0.001130
04D3hn    0.551600    0.551600    0.001000   23.474590    0.010850    0.898120    0.010770    0.105960    0.017390   0.000050  -0.000000   0.000020
04D3is    0.710000    0.710000    0.001000   24.256200    0.027450    0.971550    0.001670    0.220040    0.037500   0.000000  -0.000520   0.000000
04D3ki    0.930000    0.930000    0.001000   24.870870    0.126190    0.900600    0.039120   -0.256090    0.194080   0.000770  -0.023080   0.000350
04D3kr    0.337300    0.337300    0.001000   21.966960    0.003280    1.063510    0.003590    0.072190    0.003450   0.000010   0.000010   0.000000
04D3ks    0.752000    0.752000    0.001000   23.881730    0.035310    1.012890    0.036740    0.025650    0.042900   0.000420  -0.000630   0.000830
04D3lp    0.983000    0.983000    0.001000   24.925160    0.167950    0.830700    0.048970    0.021900    0.210660   0.001090  -0.033040   0.000790
04D3lu    0.821800    0.821800    0.001000   24.342320    0.039640    0.949720    0.028400    0.019110    0.116150   0.000350  -0.003220   0.000110
04D3ml    0.950000    0.950000    0.001000   24.551820    0.082480    1.181590    0.015350    0.116970    0.121580   0.000040  -0.009120   0.000140
04D3nc    0.817000    0.817000    0.001000   24.271180    0.047610    1.111440    0.064220    0.061920    0.140260   0.001360  -0.003460   0.002280
04D3nh    0.340200    0.340200    0.001000   22.137220    0.004000    1.011110    0.005830    0.088810    0.003770   0.000020   0.000000   0.000010
04D3nr    0.960000    0.960000    0.001000   24.541620    0.074680    0.922350    0.045200    0.069570    0.109880   0.000710  -0.006340   0.001510
04D3ny    0.810000    0.810000    0.001000   24.272480    0.050440    1.005240    0.083520   -0.065390    0.152430   0.002190  -0.004830   0.001470
04D3oe    0.756000    0.756000    0.001000   24.068690    0.025850    0.783290    0.028370   -0.258990    0.033430   0.000380  -0.000040   0.000670
04D4an    0.613000    0.613000    0.001000   24.021980    0.022700    0.823320    0.025430    0.064000    0.024660   0.000410  -0.000020   0.000220
04D4bk    0.840000    0.840000    0.001000   24.314340    0.037470    1.049720    0.051310    0.142350    0.097970   0.000730  -0.002250   0.001340
04D4bq    0.550000    0.550000    0.001000   23.361650    0.020310    0.995220    0.028810    0.112320    0.027350   0.000410   0.000260   0.000320
04D4dm    0.811000    0.811000    0.001000   24.389780    0.043960    1.000010    0.056730   -0.160610    0.150250   0.000270  -0.004320   0.002040
04D4dw    0.961000    0.961000    0.001000   24.565800    0.093380    0.962040    0.057700   -0.116850    0.137620  -0.000490  -0.011710   0.003000
