# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Ab         dAb  cov_m_del   cov_m_Ab  cov_delta
1997dg      0.029700    0.029700    0.000000   36.399998    0.200000    0.000000    0.000000    0.280000    0.000000   0.000000   0.000000   0.000000
1997do      0.010400    0.010400    0.000000   34.169998    0.330000    0.000000    0.000000    0.440000    0.000000   0.000000   0.000000   0.000000
1997ez      0.778000    0.778000    0.000000   43.810001    0.350000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997ek      0.860000    0.860000    0.000000   44.029999    0.300000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997eq      0.538000    0.538000    0.000000   42.660000    0.180000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1997ff      1.755000    1.755000    0.000000   45.529999    0.350000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1998I       0.886000    0.886000    0.000000   43.860001    0.810000    0.000000    0.000000    0.950000    0.000000   0.000000   0.000000   0.000000
1998J       0.828000    0.828000    0.000000   44.100002    0.610000    0.000000    0.000000    0.490000    0.000000   0.000000   0.000000   0.000000
1998M       0.630000    0.630000    0.000000   43.369999    0.240000    0.000000    0.000000    0.750000    0.000000   0.000000   0.000000   0.000000
1998V       0.017000    0.017000    0.000000   34.750000    0.230000    0.000000    0.000000    0.280000    0.000000   0.000000   0.000000   0.000000
1998ac      0.460000    0.460000    0.000000   42.310001    0.400000    0.000000    0.000000    0.480000    0.000000   0.000000   0.000000   0.000000
1998ay      0.638000    0.638000    0.000000   43.299999    0.360000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1998bi      0.740000    0.740000    0.000000   43.349998    0.300000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1998be      0.644000    0.644000    0.000000   42.779999    0.260000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1998ba      0.430000    0.430000    0.000000   42.360001    0.250000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
1998bp      0.010400    0.010400    0.000000   33.399998    0.320000    0.000000    0.000000    0.190000    0.000000   0.000000   0.000000   0.000000
1998co      0.017100    0.017100    0.000000   34.880001    0.240000    0.000000    0.000000    0.200000    0.000000   0.000000   0.000000   0.000000
1998cs      0.032700    0.032700    0.000000   36.050003    0.190000    0.000000    0.000000   -0.030000    0.000000   0.000000   0.000000   0.000000
1998dx      0.053000    0.053000    0.000000   37.010002    0.180000    0.000000    0.000000    0.040000    0.000000   0.000000   0.000000   0.000000
1998ef      0.017000    0.017000    0.000000   34.250000    0.230000    0.000000    0.000000    0.070000    0.000000   0.000000   0.000000   0.000000
1998eg      0.023400    0.023400    0.000000   35.650002    0.200000    0.000000    0.000000    0.290000    0.000000   0.000000   0.000000   0.000000
1999Q       0.460000    0.460000    0.000000   42.790001    0.270000    0.000000    0.000000    0.230000    0.000000   0.000000   0.000000   0.000000
1999U       0.500000    0.500000    0.000000   42.790001    0.190000    0.000000    0.000000    0.040000    0.000000   0.000000   0.000000   0.000000
1999X       0.025700    0.025700    0.000000   35.720001    0.200000    0.000000    0.000000    0.310000    0.000000   0.000000   0.000000   0.000000
1999aa      0.015700    0.015700    0.000000   34.600002    0.240000    0.000000    0.000000    0.020000    0.000000   0.000000   0.000000   0.000000
1999cc      0.031600    0.031600    0.000000   35.939999    0.190000    0.000000    0.000000    0.090000    0.000000   0.000000   0.000000   0.000000
1999cp      0.010400    0.010400    0.000000   33.640003    0.310000    0.000000    0.000000    0.080000    0.000000   0.000000   0.000000   0.000000
1999da      0.012100    0.012100    0.000000   34.630001    0.320000    0.000000    0.000000    0.580000    0.000000   0.000000   0.000000   0.000000
1999dk      0.014100    0.014100    0.000000   34.630001    0.260000    0.000000    0.000000    0.200000    0.000000   0.000000   0.000000   0.000000
1999dq      0.013600    0.013600    0.000000   34.160000    0.260000    0.000000    0.000000    0.430000    0.000000   0.000000   0.000000   0.000000
1999ef      0.038000    0.038000    0.000000   36.719997    0.180000    0.000000    0.000000    0.050000    0.000000   0.000000   0.000000   0.000000
1999fw      0.278000    0.278000    0.000000   41.259998    0.410000    0.000000    0.000000    0.260000    0.000000   0.000000   0.000000   0.000000
1999fk      1.056000    1.056000    0.000000   44.439999    0.230000    0.000000    0.000000    0.190000    0.000000   0.000000   0.000000   0.000000
1999fm      0.949000    0.949000    0.000000   44.100002    0.250000    0.000000    0.000000    0.110000    0.000000   0.000000   0.000000   0.000000
