# name          zcmb        zhel          dz        dist       ddist       delta      ddelta          Av         dAv  cov_m_del   cov_m_Av  cov_delta_Av
sn97O       0.374000    0.374000    0.000000   26.914999    0.310000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97P       0.472000    0.472000    0.000000   26.505001    0.280000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97Q       0.430000    0.430000    0.000000   25.965000    0.275000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97R       0.657000    0.657000    0.000000   27.225000    0.305000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97S       0.612000    0.612000    0.000000   27.084999    0.290000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97Y       0.016600    0.016600    0.000000   18.901291    0.195000    0.000000    0.000000    0.190000    0.000000   0.000000   0.000000   0.000000
sn97ac      0.320000    0.320000    0.000000   25.255001    0.275000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97af      0.579000    0.579000    0.000000   26.875000    0.300000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97ai      0.450000    0.450000    0.000000   26.224998    0.350000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97aj      0.581000    0.581000    0.000000   26.485001    0.300000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97am      0.416000    0.416000    0.000000   25.965000    0.285000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97ap      0.829000    0.829000    0.000000   27.715000    0.300000    0.000000    0.000000    0.000000    0.000000   0.000000   0.000000   0.000000
sn97as      0.508000    0.508000    0.000000   26.371937    0.245000    0.000000    0.000000    0.440000    0.000000   0.000000   0.000000   0.000000
sn97aw      0.440000    0.440000    0.000000   27.251129    0.250000    0.000000    0.000000    0.360000    0.000000   0.000000   0.000000   0.000000
sn97bb      0.518000    0.518000    0.000000   26.832903    0.245000    0.000000    0.000000    0.040000    0.000000   0.000000   0.000000   0.000000
sn97bd      0.671000    0.671000    0.000000   27.309355    0.325000    0.000000    0.000000    0.990000    0.000000   0.000000   0.000000   0.000000
sn97bh      0.420000    0.420000    0.000000   26.646452    0.245000    0.000000    0.000000    0.330000    0.000000   0.000000   0.000000   0.000000
sn97bj      0.334000    0.334000    0.000000   25.614517    0.255000    0.000000    0.000000    0.200000    0.000000   0.000000   0.000000   0.000000
sn97bp      0.009500    0.009500    0.000000   17.661936    0.125000    0.000000    0.000000    0.440000    0.000000   0.000000   0.000000   0.000000
sn97bq      0.009600    0.009600    0.000000   17.975485    0.115000    0.000000    0.000000    0.420000    0.000000   0.000000   0.000000   0.000000
sn97br      0.008000    0.008000    0.000000   17.031612    0.130000    0.000000    0.000000    0.470000    0.000000   0.000000   0.000000   0.000000
sn97by      0.045000    0.045000    0.000000   20.631613    0.195000    0.000000    0.000000    0.160000    0.000000   0.000000   0.000000   0.000000
sn97bz      0.031300    0.031300    0.000000   24.413225    0.580000    0.000000    0.000000    3.110000    0.000000   0.000000   0.000000   0.000000
sn97ce      0.440000    0.440000    0.000000   26.179678    0.205000    0.000000    0.000000    0.030000    0.000000   0.000000   0.000000   0.000000
sn97cj      0.500000    0.500000    0.000000   26.681129    0.235000    0.000000    0.000000    0.050000    0.000000   0.000000   0.000000   0.000000
sn97ck      0.970000    0.970000    0.000000   28.414839    0.375000    0.000000    0.000000    0.170000    0.000000   0.000000   0.000000   0.000000
sn97cn      0.017500    0.017500    0.000000   18.729355    0.130000    0.000000    0.000000    0.060000    0.000000   0.000000   0.000000   0.000000
sn97cp      0.160000    0.160000    0.000000   24.555161    0.490000    0.000000    0.000000    0.450000    0.000000   0.000000   0.000000   0.000000
